,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
50-54,255100,261700,266800,271900,274000,276100,279900,286400,293200,303200,313900,324400,333100,343600,353500,364000,375200,389000,401000,411500,419700,428300,431100,431600,430300,429500,425600,426200,428500,439000,447800,455800,461100,467700,474500,484200,497700,514300,531900,547600,564300,582000,598400,617900,634600,644433,645597,639697,631700,635644,677510,702065,728237,756272,766223,776444,777582,780403,779128,774536,774609,766107,752611,741957,733043,736851,752704,771276,795107,821142,846934,869540,888157,925117,968418,1009952,1089595,1158434,1205150,1249744,1291985,1288296,1297378,1310016,1325456,1347835,1373058,1397815,1430082,1460583,1494063
55-59,217900,222500,228600,235000,240200,245100,249400,251200,253200,254100,256600,260000,266100,273100,283500,294100,304600,313700,324300,334500,344500,355000,368400,379100,387900,395100,402900,405600,407300,407500,409100,407300,409900,411900,420500,428600,436100,441500,448800,455200,464800,477500,494100,510800,526000,543671,558772,572623,588445,599817,616496,623731,623929,619170,629724,650168,671685,696312,721831,736844,740593,746262,753660,756942,759024,755536,747581,738830,732153,726066,725950,739822,757822,777261,799107,823337,851297,877569,916258,957543,1001979,1077904,1144182,1186934,1226445,1257992,1254193,1268595,1287172,1308403,1335993
60-64,169800,177600,186800,195300,200400,203900,207300,211300,214800,217900,221900,225000,225900,228300,230300,233000,236800,243000,250000,260700,270700,280200,288000,297300,305900,314700,324300,336500,347200,356700,365000,373400,376600,377100,376800,377900,377500,380900,383900,391700,398500,405000,410000,416500,424300,434681,446556,461042,475865,487465,516213,530870,546374,565255,578918,585682,589378,589603,583025,590711,613143,636152,663020,691981,708545,719433,723712,731195,735325,738468,736868,727296,716251,710089,707497,706996,721421,740272,764557,792553,816468,839284,861077,895320,935286,978835,1055169,1117615,1157520,1194384,1226000
65-69,107300,117400,127300,136200,144500,151000,156800,163000,168200,171900,175600,178600,182600,185900,188800,191900,195100,196400,198700,200700,203100,206200,211000,216900,226300,235600,244200,250900,259500,266900,274700,283500,295000,305000,313700,320700,328900,332000,333200,333000,334900,334700,339200,341700,349200,355897,361031,366106,374111,380297,399031,411962,426094,438925,451354,466137,481637,495980,513941,528613,536216,542837,543118,538205,546339,570151,595045,621610,649842,662351,671390,677301,683939,684970,686722,688787,686135,680664,675852,672794,677898,693458,711646,732674,754865,773121,800638,827160,865863,908395,954260
70-74,65600,68200,71900,76400,81900,88300,95700,102800,109000,115500,121500,125900,130600,134800,138200,141000,143600,147400,150000,153200,156400,158100,158300,159600,160900,162600,165400,170300,176000,184700,192700,199400,204500,210300,216800,223900,232000,242400,251600,258700,264500,272100,274800,275600,275400,277394,276561,278194,278194,283253,298986,306512,315578,327325,330110,338446,348503,361289,372752,385075,401460,418048,432887,451360,464339,473197,480104,480190,478012,488526,510755,531336,553125,579494,590725,600161,607402,615934,624163,629212,634063,631147,625179,620730,619106,624132,640247,657877,680298,704894,727671
75-79,40500,41700,42800,43900,45400,47000,48500,50500,53200,56400,61200,66400,71600,76300,81600,85800,89000,92500,95700,97900,100100,101500,103400,105200,108500,111000,112300,112600,114000,115100,116800,119100,123500,127900,133800,139800,144600,148300,152900,158400,164700,171000,179100,186000,191200,195915,199748,200551,199467,199400,203537,205285,206131,208292,219710,230297,235475,241489,249727,254037,260611,271841,284401,296760,310310,324442,336542,349041,364578,375228,384495,390838,392684,390062,401419,421314,444155,466920,490129,504118,515848,523355,532369,539518,543829,546681,547710,546932,547565,549808,558341
80-84,19800,20300,21100,21900,23100,23500,24000,24700,25400,26300,27600,28400,29500,30700,32400,35200,38500,41800,44300,47600,50500,52100,53700,56000,57800,58900,59700,61100,62300,64800,66800,67500,67600,68300,69300,70800,72400,75900,78400,82800,86800,89900,91900,94700,98100,102208,105969,111550,115350,117599,121889,124763,127810,130074,130528,133348,134082,136414,138604,146861,154123,159851,166071,174038,178823,185025,194148,202844,210875,220101,229828,239645,251101,265034,274016,281072,287092,291214,293944,307014,327819,345157,362670,379657,391888,401438,410879,420642,428611,436984,444032
85 and over,10200,10300,10000,9300,9200,9200,9600,9700,10100,11100,12300,13300,14200,14500,14900,15200,15300,15500,15800,16500,18000,19200,20100,21300,23900,26100,28400,29700,30900,32000,32700,33100,34800,36400,37600,38700,38900,39400,40400,42000,43700,45900,48000,50100,52400,54852,56295,57609,59572,63199,66930,69784,73075,76542,79866,84599,87886,91640,94704,98691,102589,106191,109283,113423,121218,129296,133448,137698,143188,147175,154247,162728,171799,180265,190397,200905,212233,223772,237538,251122,263442,272552,279463,286278,302191,318692,337136,352556,368229,386594,403607
Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period not indicated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,5455100,5569900,5693400,5811200,5939200,6056300,6182500,6302200,6393900,6462700,6526500,6576800,6629800,6677400,6726200,6778400,6835600,6898600,6967800,7039500,7109900,7180700,7234900,7309700,7391700,7465100,7579400,7708700,7908100,8178700,8421700,8636500,8815300,8986500,9199700,9425500,9640200,9842400,10056400,10275000,10508200,10700500,10906900,11121600,11340900,11599498,11799078,12008635,12263014,12507349,13067265,13303664,13504538,13722571,13892995,14033083,14192234,14359255,14515729,14695356,14923260,15184247,15393472,15579391,15788312,16018350,16263874,16532164,16814416,17065128,17284036,17478635,17634808,17805468,18004882,18224767,18423037,18607584,18812264,19028802,19274701,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024
